region,site,date,detection_type,species_capture,bd_swab_id,crispr_id
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00110,crswab00099
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00092,crswab00081
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00103,crswab00092
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00127,crswab00116
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00128,crswab00117
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00098,crswab00087
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00104,crswab00093
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00118,crswab00107
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00116,crswab00105
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00129,crswab00118
pennsylvania,tuttle_pond,2022-07-19,capture,rana_pipiens,dryswab00154,crswab00142
pennsylvania,tuttle_pond,2022-07-19,capture,rana_pipiens,dryswab00155,crswab00143
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00112,crswab00101
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00124,crswab00113
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00105,crswab00094
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00108,crswab00097
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00117,crswab00106
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00114,crswab00103
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00121,crswab00110
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00125,crswab00114
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00123,crswab00112
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00106,crswab00095
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00097,crswab00086
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00111,crswab00100
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00093,crswab00082
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00122,crswab00111
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00096,crswab00085
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00101,crswab00090
pennsylvania,tuttle_pond,2022-07-19,capture,rana_catesbeiana,dryswab00134,crswab00123
pennsylvania,tuttle_pond,2022-07-19,capture,rana_catesbeiana,dryswab00151,crswab00139
pennsylvania,tuttle_pond,2022-07-19,capture,rana_catesbeiana,dryswab00153,crswab00141
pennsylvania,tuttle_pond,2022-07-19,capture,rana_catesbeiana,dryswab00132,crswab00121
pennsylvania,tuttle_pond,2022-07-19,capture,rana_catesbeiana,dryswab00150,crswab00138
pennsylvania,tuttle_pond,2022-07-19,capture,rana_catesbeiana,dryswab00145,crswab00133
pennsylvania,tuttle_pond,2022-07-19,capture,rana_catesbeiana,dryswab00133,crswab00122
pennsylvania,tuttle_pond,2022-07-19,capture,rana_catesbeiana,dryswab00138,crswab00127
